id,season,round,localTeam,visitorTeam,localGoals,visitorGoals,resultLocal,resultVisitor
1,1970-71,1,Atletico de Bilbao,Barcelona,1,1,E,E
2,1970-71,1,Las Palmas,Atletico de Madrid,1,1,E,E
3,1970-71,1,Real Madrid,Valencia,2,0,G,P
4,1970-71,1,Celta de Vigo,Sporting de Gijon,2,0,G,P
5,1970-71,1,Elche,Granada,1,1,E,E
6,1970-71,1,Espanol,Sevilla,0,1,P,G
7,1970-71,1,Sabadell,Real Sociedad,0,0,E,E
8,1970-71,1,Zaragoza,CD Malaga,0,0,E,E
9,1970-71,2,Valencia,Las Palmas,5,1,G,P
10,1970-71,2,Atletico de Madrid,Atletico de Bilbao,2,0,G,P
11,1970-71,2,Barcelona,Zaragoza,5,2,G,P
12,1970-71,2,Sporting de Gijon,Sabadell,3,2,G,P
13,1970-71,2,Granada,Espanol,1,0,G,P
14,1970-71,2,CD Malaga,Celta de Vigo,2,1,G,P
15,1970-71,2,Real Sociedad,Elche,2,0,G,P
16,1970-71,2,Sevilla,Real Madrid,3,1,G,P
17,1970-71,3,Las Palmas,Atletico de Bilbao,1,1,E,E
18,1970-71,3,Real Madrid,Granada,3,2,G,P
19,1970-71,3,Valencia,Sevilla,0,1,P,G
20,1970-71,3,Celta de Vigo,Barcelona,1,1,E,E
21,1970-71,3,Elche,Sporting de Gijon,5,0,G,P
22,1970-71,3,Espanol,Real Sociedad,0,0,E,E
23,1970-71,3,Sabadell,CD Malaga,5,2,G,P
24,1970-71,3,Zaragoza,Atletico de Madrid,0,1,P,G
25,1970-71,4,Atletico de Bilbao,Zaragoza,3,0,G,P
26,1970-71,4,Atletico de Madrid,Celta de Vigo,3,1,G,P
27,1970-71,4,Barcelona,Sabadell,4,1,G,P
28,1970-71,4,Sporting de Gijon,Espanol,0,1,P,G
29,1970-71,4,Granada,Valencia,2,2,E,E
30,1970-71,4,Las Palmas,Sevilla,0,0,E,E
31,1970-71,4,CD Malaga,Elche,1,0,G,P
32,1970-71,4,Real Sociedad,Real Madrid,0,0,E,E
33,1970-71,5,Celta de Vigo,Atletico de Bilbao,2,1,G,P
34,1970-71,5,Elche,Barcelona,0,1,P,G
35,1970-71,5,Espanol,CD Malaga,1,1,E,E
36,1970-71,5,Real Madrid,Sporting de Gijon,1,1,E,E
37,1970-71,5,Sabadell,Atletico de Madrid,0,2,P,G
38,1970-71,5,Sevilla,Granada,1,0,G,P
39,1970-71,5,Valencia,Real Sociedad,0,0,E,E
40,1970-71,5,Zaragoza,Las Palmas,1,1,E,E
41,1970-71,6,Atletico de Bilbao,Sabadell,1,0,G,P
42,1970-71,6,Atletico de Madrid,Elche,3,1,G,P
43,1970-71,6,Barcelona,Espanol,3,0,G,P
44,1970-71,6,Sporting de Gijon,Valencia,0,1,P,G
45,1970-71,6,Granada,Las Palmas,1,0,G,P
46,1970-71,6,CD Malaga,Real Madrid,0,2,P,G
47,1970-71,6,Real Sociedad,Sevilla,1,0,G,P
48,1970-71,6,Zaragoza,Celta de Vigo,0,0,E,E
49,1970-71,7,Elche,Atletico de Bilbao,1,1,E,E
50,1970-71,7,Espanol,Atletico de Madrid,0,0,E,E
51,1970-71,7,Granada,Real Sociedad,2,0,G,P
52,1970-71,7,Las Palmas,Celta de Vigo,1,2,P,G
53,1970-71,7,Real Madrid,Barcelona,0,1,P,G
54,1970-71,7,Sabadell,Zaragoza,2,1,G,P
55,1970-71,7,Sevilla,Sporting de Gijon,1,1,E,E
56,1970-71,7,Valencia,CD Malaga,1,0,G,P
57,1970-71,8,Barcelona,Valencia,0,2,P,G
58,1970-71,8,Atletico de Bilbao,Espanol,2,0,G,P
59,1970-71,8,Atletico de Madrid,Real Madrid,2,2,E,E
60,1970-71,8,Celta de Vigo,Sabadell,1,0,G,P
61,1970-71,8,Sporting de Gijon,Granada,3,2,G,P
62,1970-71,8,Las Palmas,Real Sociedad,4,2,G,P
63,1970-71,8,CD Malaga,Sevilla,1,1,E,E
64,1970-71,8,Zaragoza,Elche,1,1,E,E
65,1970-71,9,Elche,Celta de Vigo,1,1,E,E
66,1970-71,9,Espanol,Zaragoza,0,0,E,E
67,1970-71,9,Granada,CD Malaga,1,1,E,E
68,1970-71,9,Real Sociedad,Sporting de Gijon,3,1,G,P
69,1970-71,9,Real Madrid,Atletico de Bilbao,1,2,P,G
70,1970-71,9,Sabadell,Las Palmas,0,0,E,E
71,1970-71,9,Sevilla,Barcelona,0,1,P,G
72,1970-71,9,Valencia,Atletico de Madrid,1,0,G,P
73,1970-71,10,Atletico de Bilbao,Valencia,0,0,E,E
74,1970-71,10,Atletico de Madrid,Sevilla,4,1,G,P
75,1970-71,10,Barcelona,Granada,2,1,G,P
76,1970-71,10,Celta de Vigo,Espanol,1,0,G,P
77,1970-71,10,Las Palmas,Sporting de Gijon,1,2,P,G
78,1970-71,10,CD Malaga,Real Sociedad,0,0,E,E
79,1970-71,10,Sabadell,Elche,1,0,G,P
80,1970-71,10,Zaragoza,Real Madrid,0,5,P,G
81,1970-71,11,Espanol,Sabadell,3,1,G,P
82,1970-71,11,Sporting de Gijon,CD Malaga,3,0,G,P
83,1970-71,11,Granada,Atletico de Madrid,0,0,E,E
84,1970-71,11,Las Palmas,Elche,2,2,E,E
85,1970-71,11,Real Sociedad,Barcelona,1,0,G,P
86,1970-71,11,Real Madrid,Celta de Vigo,4,0,G,P
87,1970-71,11,Sevilla,Atletico de Bilbao,3,2,G,P
88,1970-71,11,Valencia,Zaragoza,2,0,G,P
89,1970-71,12,Atletico de Bilbao,Granada,3,0,G,P
90,1970-71,12,Atletico de Madrid,Real Sociedad,1,0,G,P
91,1970-71,12,Barcelona,Sporting de Gijon,2,0,G,P
92,1970-71,12,Celta de Vigo,Valencia,1,0,G,P
93,1970-71,12,Elche,Espanol,1,1,E,E
94,1970-71,12,CD Malaga,Las Palmas,1,1,E,E
95,1970-71,12,Sabadell,Real Madrid,1,1,E,E
96,1970-71,12,Zaragoza,Sevilla,4,1,G,P
97,1970-71,13,Espanol,Las Palmas,2,1,G,P
98,1970-71,13,Sporting de Gijon,Atletico de Madrid,1,1,E,E
99,1970-71,13,Granada,Zaragoza,3,0,G,P
100,1970-71,13,CD Malaga,Barcelona,0,1,P,G
101,1970-71,13,Real Sociedad,Atletico de Bilbao,2,1,G,P
102,1970-71,13,Real Madrid,Elche,1,1,E,E
103,1970-71,13,Sevilla,Celta de Vigo,2,1,G,P
104,1970-71,13,Valencia,Sabadell,2,1,G,P
105,1970-71,14,Atletico de Bilbao,Sporting de Gijon,3,0,G,P
106,1970-71,14,Atletico de Madrid,CD Malaga,2,1,G,P
107,1970-71,14,Celta de Vigo,Granada,2,0,G,P
