Atletico de Bilbao,1970-71,1,2,1,0,2,0,1,0,0,1,2,0,2,0,1,0,0,0,0,0,2,0,2,2,2,0,1,1,2,0
Barcelona,1970-71,1,0,1,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,2,1,0,2,1,0,0,0,0,0,0,1
Las Palmas,1970-71,1,2,1,1,1,2,2,0,1,2,1,1,2,0,2,2,1,2,2,0,0,2,2,0,2,2,2,1,2,1
Atletico de Madrid,1970-71,1,0,0,0,0,0,1,1,2,0,1,0,1,0,2,0,2,0,2,0,0,0,2,0,1,0,0,0,1,1
Real Madrid,1970-71,0,2,0,1,1,0,2,1,2,0,0,1,1,0,0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,1
Valencia,1970-71,2,0,2,1,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0,2
Celta de Vigo,1970-71,0,2,1,2,0,1,0,0,1,0,2,0,2,0,0,2,1,2,0,2,0,0,2,0,0,0,2,0,2,1
Sporting de Gijon,1970-71,2,0,2,2,1,2,1,0,2,0,0,2,1,2,1,0,2,0,2,2,2,0,2,0,0,2,2,2,0,1
Elche,1970-71,1,2,0,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,0,2,1,0,2,2,2,0
Granada,1970-71,1,0,2,1,2,0,0,2,1,2,1,2,0,2,0,0,2,0,2,1,2,1,0,2,2,2,1,1,0,0
Espanol,1970-71,2,2,1,0,1,2,1,2,1,2,0,1,0,2,2,2,0,2,0,1,2,2,0,1,2,1,0,1,2,0
Sevilla,1970-71,0,0,0,1,0,2,1,1,2,2,0,2,0,2,0,0,2,1,0,1,0,2,0,2,1,2,0,2,0,2
Sabadell,1970-71,1,2,0,2,2,2,0,2,1,0,2,1,2,0,2,2,0,2,0,2,0,2,0,2,1,1,2,2,2,2
Real Sociedad,1970-71,1,0,1,1,1,0,2,2,0,1,0,2,0,2,2,0,0,0,2,1,2,1,0,2,2,2,2,1,0,1
Zaragoza,1970-71,1,2,2,2,1,1,2,1,1,2,2,0,2,0,1,2,2,2,2,2,2,0,2,1,2,2,2,1,2,1
CD Malaga,1970-71,1,0,2,0,1,2,2,1,1,1,2,1,2,2,1,0,1,0,1,1,1,2,2,0,0,0,0,2,1,2
Atletico de Bilbao,1971-72,2,2,2,2,0,1,2,1,0,0,2,0,2,0,2,2,0,2,0,0,0,2,0,0,2,2,2,0,0,0
Las Palmas,1971-72,0,1,0,1,2,1,2,0,1,1,2,0,0,2,0,2,1,0,2,2,2,0,0,0,1,0,2,0,2,0
Valencia,1971-72,1,1,0,0,0,0,0,1,1,0,2,1,2,0,0,0,2,2,0,2,0,2,0,1,0,2,1,0,2,0
Espanol,1971-72,1,0,1,0,2,1,2,0,2,1,0,2,2,0,0,0,2,0,2,2,2,0,2,1,2,0,2,2,1,1
Barcelona,1971-72,0,2,2,2,1,1,0,1,2,2,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,2,0
Real Sociedad,1971-72,2,0,2,1,2,0,1,2,0,1,0,2,0,0,0,0,0,1,2,2,0,0,2,0,2,2,0,2,1,2
Celta de Vigo,1971-72,0,1,2,2,2,2,2,1,0,0,2,0,1,2,2,0,1,1,0,1,1,0,2,2,1,0,2,0,1,1
Atletico de Madrid,1971-72,2,0,0,2,1,0,1,2,1,1,1,0,0,0,0,2,0,1,2,2,2,1,2,0,1,0,0,1,1,1
Deportivo,1971-72,0,2,0,2,0,2,1,2,2,2,0,1,2,1,2,0,2,1,1,0,0,2,1,2,1,2,0,2,0,2
Cordoba,1971-72,2,1,2,1,1,2,0,2,2,1,0,2,0,2,2,2,0,1,1,1,2,1,0,1,1,1,2,1,1,2
Granada,1971-72,0,2,1,1,0,2,1,1,0,2,0,2,2,1,2,0,2,2,0,0,0,2,0,2,1,1,0,2,0,0
CD Malaga,1971-72,2,0,0,0,1,1,1,2,1,0,1,1,1,1,0,2,1,0,1,1,2,1,2,2,0,2,1,1,1,1
Real Madrid,1971-72,0,0,0,1,0,1,0,0,1,1,1,2,0,1,0,0,0,1,1,1,0,0,0,2,0,0,0,2,0,2
Betis,1971-72,2,1,2,0,2,1,1,0,2,0,2,1,2,2,2,0,2,1,2,0,2,0,1,0,1,1,0,1,1,0
Sabadell,1971-72,2,2,0,0,2,1,2,1,2,0,1,0,2,1,2,2,1,2,0,2,1,2,2,1,2,1,2,1,2,0
Sporting de Gijon,1971-72,0,0,2,0,2,0,2,1,0,2,2,0,2,1,2,2,1,0,2,0,2,0,1,0,2,1,1,0,1,2
Sevilla,1971-72,0,1,2,1,0,1,0,0,0,2,1,2,0,2,0,2,2,2,1,1,2,2,2,2,1,1,0,1,2,2
Burgos,1971-72,2,2,0,2,0,1,0,1,1,2,0,2,0,2,2,2,0,0,1,1,0,2,0,2,0,2,2,2,0,2
Sporting de Gijon,1972-73,0,2,1,2,0,2,0,2,2,1,0,1,2,0,2,1,2,2,0,2,0,1,0,2,0,2,1,2,2,0
Betis,1972-73,2,2,2,2,1,1,2,1,1,0,0,1,1,2,2,1,0,0,2,0,2,1,2,0,2,1,2,1,1,1
Granada,1972-73,1,1,1,2,1,2,1,0,0,2,0,1,0,2,2,2,0,2,0,1,0,1,2,2,1,2,0,1,1,2
Zaragoza,1972-73,1,0,0,1,0,1,1,2,0,2,1,0,2,2,0,1,2,0,2,1,2,2,0,1,0,2,1,2,1,1
Las Palmas,1972-73,0,0,1,2,0,2,2,2,2,1,1,1,2,0,2,0,1,2,0,2,2,2,0,0,1,2,1,0,2,0
Oviedo,1972-73,2,2,2,0,2,1,1,0,1,2,2,1,1,1,1,2,0,0,2,1,2,0,1,0,0,1,2,2,0,0
CD Malaga,1972-73,1,1,1,0,2,0,0,2,1,0,1,0,2,1,0,0,2,2,0,0,2,1,2,2,1,0,2,0,2,1
Atletico de Bilbao,1972-73,1,1,0,0,2,0,2,2,2,0,2,1,1,0,1,2,0,0,2,1,2,0,2,2,1,0,2,0,2,1
Atletico de Madrid,1972-73,2,0,0,0,1,2,0,0,0,1,2,1,0,0,0,1,1,0,0,2,2,2,0,0,1,0,0,0,0,0
Valencia,1972-73,0,2,1,1,1,0,1,1,2,2,0,2,0,2,0,1,1,2,1,1,0,2,2,2,0,2,0,2,0,1
