Barcelona,1970-71,1,0,1,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,2,1,0,2,1,0,0,0,0,0,0,1,2.0
Las Palmas,1970-71,1,2,1,1,1,2,2,0,1,2,1,1,2,0,2,2,1,2,2,0,0,2,2,0,2,2,2,1,2,1,14.0
Atletico de Madrid,1970-71,1,0,0,0,0,0,1,1,2,0,1,0,1,0,2,0,2,0,2,0,0,0,2,0,1,0,0,0,1,1,3.0
Real Madrid,1970-71,0,2,0,1,1,0,2,1,2,0,0,1,1,0,0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,1,4.0
Celta de Vigo,1970-71,0,2,1,2,0,1,0,0,1,0,2,0,2,0,0,2,1,2,0,2,0,0,2,0,0,0,2,0,2,1,6.0
Elche,1970-71,1,2,0,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,0,2,1,0,2,2,2,0,15.0
Granada,1970-71,1,0,2,1,2,0,0,2,1,2,1,2,0,2,0,0,2,0,2,1,2,1,0,2,2,2,1,1,0,0,10.0
Espanol,1970-71,2,2,1,0,1,2,1,2,1,2,0,1,0,2,2,2,0,2,0,1,2,2,0,1,2,1,0,1,2,0,11.0
Sevilla,1970-71,0,0,0,1,0,2,1,1,2,2,0,2,0,2,0,0,2,1,0,1,0,2,0,2,1,2,0,2,0,2,7.0
Sabadell,1970-71,1,2,0,2,2,2,0,2,1,0,2,1,2,0,2,2,0,2,0,2,0,2,0,2,1,1,2,2,2,2,13.0
Real Sociedad,1970-71,1,0,1,1,1,0,2,2,0,1,0,2,0,2,2,0,0,0,2,1,2,1,0,2,2,2,2,1,0,1,8.0
Zaragoza,1970-71,1,2,2,2,1,1,2,1,1,2,2,0,2,0,1,2,2,2,2,2,2,0,2,1,2,2,2,1,2,1,16.0
CD Malaga,1970-71,1,0,2,0,1,2,2,1,1,1,2,1,2,2,1,0,1,0,1,1,1,2,2,0,0,0,0,2,1,2,9.0
Las Palmas,1971-72,0,1,0,1,2,1,2,0,1,1,2,0,0,2,0,2,1,0,2,2,2,0,0,0,1,0,2,0,2,0,5.0
Valencia,1971-72,1,1,0,0,0,0,0,1,1,0,2,1,2,0,0,0,2,2,0,2,0,2,0,1,0,2,1,0,2,0,2.0
Espanol,1971-72,1,0,1,0,2,1,2,0,2,1,0,2,2,0,0,0,2,0,2,2,2,0,2,1,2,0,2,2,1,1,12.0
Barcelona,1971-72,0,2,2,2,1,1,0,1,2,2,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,2,0,3.0
Real Sociedad,1971-72,2,0,2,1,2,0,1,2,0,1,0,2,0,0,0,0,0,1,2,2,0,0,2,0,2,2,0,2,1,2,8.0
Celta de Vigo,1971-72,0,1,2,2,2,2,2,1,0,0,2,0,1,2,2,0,1,1,0,1,1,0,2,2,1,0,2,0,1,1,10.0
Atletico de Madrid,1971-72,2,0,0,2,1,0,1,2,1,1,1,0,0,0,0,2,0,1,2,2,2,1,2,0,1,0,0,1,1,1,4.0
Granada,1971-72,0,2,1,1,0,2,1,1,0,2,0,2,2,1,2,0,2,2,0,0,0,2,0,2,1,1,0,2,0,0,6.0
